Any,Codi_Barri,Nom_Barri,mitja_numero_aturats
2012,01,el Raval,4857.76
2012,02,el Barri Gòtic,1410.58
2012,03,la Barceloneta,1462.08
2012,04,"Sant Pere, Santa Caterina i la Ribera",2026.57
2012,05,el Fort Pienc,1993.05
2012,06,la Sagrada Família,3251.55
2012,07,la Dreta de l'Eixample,2204.06
2012,08,l'Antiga Esquerra de l'Eixample,2541.11
2012,09,la Nova Esquerra de l'Eixample,3463.64
2012,10,Sant Antoni,2551.36
2012,11,el Poble Sec - AEI Parc Montjuïc,3532.78
2012,12,la Marina del Prat Vermell - AEI Zona Franca,149.57
2012,13,la Marina de Port,2399.42
2012,14,la Font de la Guatlla,883.65
2012,15,Hostafrancs,1097.71
2012,16,la Bordeta,1289.8
2012,17,Sants - Badal,1410.18
2012,18,Sants,2653.79
2012,19,les Corts,2710.18
2012,20,la Maternitat i Sant Ramon,1393.19
2012,21,Pedralbes,349.77
2012,22,"Vallvidrera, el Tibidabo i les Planes",130.01
2012,23,Sarrià,729.93
2012,24,les Tres Torres,505.47
2012,25,Sant Gervasi - la Bonanova,882.23
2012,26,Sant Gervasi - Galvany,1765.77
2012,27,el Putxet i el Farró,1562.53
2012,28,Vallcarca i els Penitents,986.0
2012,29,el Coll,417.03
2012,30,la Salut,835.47
2012,31,la Vila de Gràcia,3384.44
2012,32,el Camp d'en Grassot i Gràcia Nova,2124.54
2012,33,el Baix Guinardó,1626.13
2012,34,Can Baró,597.31
2012,35,el Guinardó,2500.49
2012,36,la Font d'en Fargues,768.23
2012,37,el Carmel,2623.33
2012,38,la Teixonera,773.0
2012,39,Sant Genís dels Agudells,463.11
2012,40,Montbau,334.72
2012,41,la Vall d'Hebron,357.02
2012,42,la Clota,25.08
2012,43,Horta,2109.05
2012,44,Vilapicina i la Torre Llobeta,1927.52
2012,45,Porta,1887.38
2012,46,el Turó de la Peira,1190.29
2012,47,Can Peguera,167.86
2012,48,la Guineueta,1389.15
2012,49,Canyelles,676.76
2012,50,les Roquetes,1470.41
2012,51,Verdun,1125.86
2012,52,la Prosperitat,2122.16
2012,53,la Trinitat Nova,927.76
2012,54,Torre Baró,254.93
2012,55,Ciutat Meridiana,1330.89
2012,56,Vallbona,154.53
2012,57,la Trinitat Vella,1233.57
2012,58,Baró de Viver,184.11
2012,59,el Bon Pastor,1047.99
2012,60,Sant Andreu,4244.88
2012,61,la Sagrera,2004.15
2012,62,el Congrés i els Indians,975.71
2012,63,Navas,1500.96
2012,64,el Camp de l'Arpa del Clot,2867.23
2012,65,el Clot,1904.52
2012,66,el Parc i la Llacuna del Poblenou,904.24
2012,67,la Vila Olímpica del Poblenou,606.24
2012,68,el Poblenou,2080.11
2012,69,Diagonal Mar i el Front Marítim del Poblenou,961.17
2012,70,el Besòs i el Maresme,2207.25
2012,71,Provençals del Poblenou,1490.15
2012,72,Sant Martí de Provençals,2103.4
2012,73,la Verneda i la Pau,2381.77
2013,01,el Raval,4647.91
2013,02,el Barri Gòtic,1258.86
2013,03,la Barceloneta,1405.66
2013,04,"Sant Pere, Santa Caterina i la Ribera",1950.65
2013,05,el Fort Pienc,1927.69
2013,06,la Sagrada Família,3122.38
2013,07,la Dreta de l'Eixample,2093.15
