Codi_Barri,Nom_Barri,Poblacio_16_64_anys,Pes_atur
01,el Raval,36405,8.7
02,el Barri Gòtic,15462,5.5
03,la Barceloneta,11337,8.3
04,"Sant Pere, Santa Caterina i la Ribera",17710,7.4
05,el Fort Pienc,21844,5.4
06,la Sagrada Família,34705,5.5
07,la Dreta de l'Eixample,29350,4.2
08,l'Antiga Esquerra de l'Eixample,29117,4.9
09,la Nova Esquerra de l'Eixample,38455,5.3
10,Sant Antoni,25754,5.8
11,el Poble Sec,28836,7.2
12,la Marina del Prat Vermell,816,11.8
13,la Marina de Port,20506,7.9
14,la Font de la Guatlla,6897,7.6
15,Hostafrancs,11132,6.3
16,la Bordeta,12688,6.4
17,Sants - Badal,16163,5.3
18,Sants,28367,5.8
19,les Corts,28471,5.9
20,la Maternitat i Sant Ramon,14547,5.9
21,Pedralbes,7025,2.9
22,"Vallvidrera, el Tibidabo i les Planes",3121,2.9
23,Sarrià,14983,3.0
24,les Tres Torres,10066,3.4
25,Sant Gervasi - la Bonanova,15861,3.4
26,Sant Gervasi - Galvany,29773,3.5
27,el Putxet i el Farró,19029,4.8
28,Vallcarca i els Penitents,9998,5.9
29,el Coll,4950,5.0
30,la Salut,8292,6.0
31,la Vila de Gràcia,34941,5.3
32,el Camp d'en Grassot i Gràcia Nova,22614,5.4
33,el Baix Guinardó,16570,5.7
34,Can Baró,6031,5.9
35,el Guinardó,24108,6.1
36,la Font d'en Fargues,5794,8.0
37,el Carmel,20567,7.7
38,la Teixonera,7751,6.3
39,Sant Genís dels Agudells,4555,6.5
40,Montbau,3125,6.9
41,la Vall d'Hebron,3500,6.6
42,la Clota,479,3.3
43,Horta,17002,7.8
44,Vilapicina i la Torre Llobeta,16192,7.7
45,Porta,16782,7.3
46,el Turó de la Peira,10172,7.6
47,Can Peguera,1406,7.7
48,la Guineueta,8971,9.9
49,Canyelles,4135,10.5
50,les Roquetes,10739,8.7
51,Verdun,8117,8.9
52,la Prosperitat,16606,8.3
53,la Trinitat Nova,5082,12.4
54,Torre Baró,1996,8.8
55,Ciutat Meridiana,7070,12.9
56,Vallbona,893,11.9
57,la Trinitat Vella,6917,12.2
58,Baró de Viver,1732,6.8
59,el Bon Pastor,8481,7.9
60,Sant Andreu,36844,7.3
61,la Sagrera,18519,6.7
62,el Congrés i els Indians,9449,6.3
63,Navas,14220,6.5
64,el Camp de l'Arpa del Clot,25518,6.9
65,el Clot,18066,6.7
66,el Parc i la Llacuna del Poblenou,10558,5.5
67,la Vila Olímpica del Poblenou,6474,5.8
68,el Poblenou,22944,5.7
69,Diagonal Mar i el Front Marítim del Poblenou,8858,7.0
70,el Besòs i el Maresme,16577,8.5
71,Provençals del Poblenou,14217,6.6
72,Sant Martí de Provençals,16219,7.9
73,la Verneda i la Pau,17577,8.3
