Codi_Barri,Nom_Barri,Poblacio_16_64_anys,Pes_atur
01,el Raval,36330,14.5
02,el Barri Gòtic,17931,7.9
03,la Barceloneta,11346,12.9
04,"Sant Pere, Santa Caterina i la Ribera",17817,11.3
05,el Fort Pienc,22474,7.4
06,la Sagrada Família,35008,7.5
07,la Dreta de l'Eixample,29535,6.3
08,l'Antiga Esquerra de l'Eixample,29495,6.6
09,la Nova Esquerra de l'Eixample,38490,7.4
10,Sant Antoni,26125,8.2
11,el Poble Sec,28752,10.8
12,la Marina del Prat Vermell,845,17.0
13,la Marina de Port,20742,11.0
14,la Font de la Guatlla,6868,11.3
15,Hostafrancs,11193,8.3
16,la Bordeta,12732,8.6
17,Sants - Badal,16538,6.8
18,Sants,29727,7.4
19,les Corts,28434,7.8
20,la Maternitat i Sant Ramon,14523,7.7
21,Pedralbes,7002,3.8
22,"Vallvidrera, el Tibidabo i les Planes",3095,4.0
23,Sarrià,15067,4.0
24,les Tres Torres,10010,4.8
25,Sant Gervasi - la Bonanova,16020,4.7
26,Sant Gervasi - Galvany,29947,4.7
27,el Putxet i el Farró,19519,6.4
28,Vallcarca i els Penitents,10174,8.0
29,el Coll,5040,6.7
30,la Salut,8313,8.3
31,la Vila de Gràcia,35144,7.5
32,el Camp d'en Grassot i Gràcia Nova,22813,7.4
33,el Baix Guinardó,16655,7.8
34,Can Baró,6087,8.2
35,el Guinardó,24437,8.4
36,la Font d'en Fargues,5844,10.7
37,el Carmel,20925,10.2
38,la Teixonera,7904,8.5
39,Sant Genís dels Agudells,4682,8.8
40,Montbau,3221,9.3
41,la Vall d'Hebron,3541,9.0
42,la Clota,497,4.5
43,Horta,17771,10.3
44,Vilapicina i la Torre Llobeta,16400,10.4
45,Porta,17963,9.2
46,el Turó de la Peira,10552,10.2
47,Can Peguera,1411,10.5
48,la Guineueta,9052,13.2
49,Canyelles,4082,14.2
50,les Roquetes,10915,11.5
51,Verdun,8306,11.6
52,la Prosperitat,16807,11.0
53,la Trinitat Nova,5195,16.5
54,Torre Baró,1985,12.0
55,Ciutat Meridiana,7218,17.2
56,Vallbona,901,16.0
57,la Trinitat Vella,7009,16.4
58,Baró de Viver,1755,8.3
59,el Bon Pastor,9014,9.2
60,Sant Andreu,37215,9.1
61,la Sagrera,18540,8.7
62,el Congrés i els Indians,9638,8.1
63,Navas,14407,8.4
64,el Camp de l'Arpa del Clot,25714,9.0
65,el Clot,18009,8.8
66,el Parc i la Llacuna del Poblenou,10685,7.3
67,la Vila Olímpica del Poblenou,6471,8.1
68,el Poblenou,23221,7.8
69,Diagonal Mar i el Front Marítim del Poblenou,8766,10.0
70,el Besòs i el Maresme,17383,11.5
71,Provençals del Poblenou,14391,8.7
72,Sant Martí de Provençals,16235,10.5
73,la Verneda i la Pau,17602,10.9
