index,Distrito,ID,Barrio,Partido,Cantidad,votos_ganador
219,1. CIUTAT VELLA,1,1. el Raval,BEC-ECG  ,2770,2770
155,2. L'EIXAMPLE,10,10. Sant Antoni,ERC-AM  ,4273,4273
229,3. SANTS-MONTJUÏC,11,11. el Poble Sec- AEI Parc Montjuïc,BEC-ECG  ,4033,4033
230,3. SANTS-MONTJUÏC,12,12. la Marina del Prat Vermell-AEI Zona Franca,BEC-ECG  ,105,105
304,3. SANTS-MONTJUÏC,13,13. la Marina de Port,PSC-CP  ,3455,3455
232,3. SANTS-MONTJUÏC,14,14. la Font de la Guatlla,BEC-ECG  ,1086,1086
160,3. SANTS-MONTJUÏC,15,15. Hostafrancs,ERC-AM  ,1771,1771
161,3. SANTS-MONTJUÏC,16,16. la Bordeta,ERC-AM  ,2468,2468
162,3. SANTS-MONTJUÏC,17,17. Sants-Badal,ERC-AM  ,2717,2717
163,3. SANTS-MONTJUÏC,18,18. Sants,ERC-AM  ,5135,5135
164,4. LES CORTS,19,19. les Corts,ERC-AM  ,5851,5851
220,1. CIUTAT VELLA,2,2. el Barri Gòtic,BEC-ECG  ,1246,1246
165,4. LES CORTS,20,20. la Maternitat i Sant Ramon,ERC-AM  ,2831,2831
385,4. LES CORTS,21,21. Pedralbes,BCN Cs  ,2030,2030
167,5. SARRIÀ-SANT GERVASI,22,"22. Vallvidrera, el Tibidabo, i les Planes",ERC-AM  ,545,545
387,5. SARRIÀ-SANT GERVASI,23,23. Sarrià,BCN Cs  ,2676,2676
388,5. SARRIÀ-SANT GERVASI,24,24. les Tres Torres,BCN Cs  ,3019,3019
389,5. SARRIÀ-SANT GERVASI,25,25. Sant Gervasi-la Bonanova,BCN Cs  ,3649,3649
390,5. SARRIÀ-SANT GERVASI,26,26. Sant Gervasi-Galvany,BCN Cs  ,7025,7025
172,5. SARRIÀ-SANT GERVASI,27,27. el Putxet i el Farró,ERC-AM  ,3420,3420
173,6. GRÀCIA,28,28. Vallcarca i els Penitents,ERC-AM  ,1774,1774
174,6. GRÀCIA,29,29. el Coll,ERC-AM  ,840,840
148,1. CIUTAT VELLA,3,3. la Barceloneta,ERC-AM  ,1408,1408
175,6. GRÀCIA,30,30. la Salut,ERC-AM  ,1678,1678
249,6. GRÀCIA,31,31. la Vila de Gràcia,BEC-ECG  ,6773,6773
177,6. GRÀCIA,32,32. el Camp d'en Grassot  i Gràcia Nova,ERC-AM  ,4788,4788
178,7. HORTA-GUINARDÓ,33,33. el Baix Guinardó,ERC-AM  ,3200,3200
179,7. HORTA-GUINARDÓ,34,34. Can Baró,ERC-AM  ,1074,1074
180,7. HORTA-GUINARDÓ,35,35. el Guinardó,ERC-AM  ,4385,4385
181,7. HORTA-GUINARDÓ,36,36. la Font d'en Fargues,ERC-AM  ,1240,1240
328,7. HORTA-GUINARDÓ,37,37. el Carmel,PSC-CP  ,4107,4107
329,7. HORTA-GUINARDÓ,38,38. la Teixonera,PSC-CP  ,1431,1431
330,7. HORTA-GUINARDÓ,39,39. Sant Genís   dels Agudells,PSC-CP  ,804,804
222,1. CIUTAT VELLA,4,"4. Sant Pere, Santa",BEC-ECG  ,2104,2104
185,7. HORTA-GUINARDÓ,40,40. Montbau,ERC-AM  ,517,517
332,7. HORTA-GUINARDÓ,41,41. la Vall d'Hebron,PSC-CP  ,653,653
260,7. HORTA-GUINARDÓ,42,42. la Clota,BEC-ECG  ,95,95
261,7. HORTA-GUINARDÓ,43,43. Horta,BEC-ECG  ,3040,3040
335,8. NOU BARRIS,44,44. Vilapicina i  la Torre Llobeta,PSC-CP  ,2816,2816
336,8. NOU BARRIS,45,45. Porta,PSC-CP  ,2839,2839
