,Título,Zona,Precio,M2,Habitaciones,Baños,Terraza,Amueblado,Parking,Link,Latitud,Longitud,idZona,TerrazaBin
0,Alquiler piso muy luminoso en Poblenou Barcelona,Poblenou,850.0,54.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-muy_luminoso_poblenou-barcelona-i3846003772901.htm?pag=1&f=&geo=p&from=list&lo=55,41.4046,2.20437,68,0
1,Alquiler apartamento fabuloso a estrenar en El Coll Barcelona,El Coll,750.0,40.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-apartamento-fabuloso_a_estrenar_el_coll-barcelona-i11670004039825.htm?pag=1&f=&geo=p&from=list&lo=55,41.4218673936,2.1469692578,29,0
2,Alquiler planta baja piso familiar en buena zona en Barcelona,Sant Gervasi - Galvany,1100.0,100.0,4,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-planta_baja-piso_familiar_en_buena_zona_sant_gervasi_galvany-barcelona-i3047004068736.htm?pag=3&f=&geo=p&from=list&lo=55,41.4027748775,2.1420032694,26,0
3,Alquiler loft  con ascensor y aire acondicionado en Barcelona,El Clot,450.0,18.0,1,1,nan,,,https://www.habitaclia.com/alquiler-loft-con_ascensor_y_aire_acondicionado_el_clot-barcelona-i30305000000163.htm?pag=1&f=&geo=p&from=list&lo=55,41.41225,2.1892,65,0
4,Alquiler dúplex gran oportunidad en Putget - Farró Barcelona,Putget - Farró,680.0,28.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-duplex-gran_oportunidad_putget_farro-barcelona-i30305000000140.htm?pag=1&f=&geo=p&from=list&lo=55,41.40751,2.14791,27,0
5,Alquiler piso  amueblado 3 hab. en alquiler en Barcelona,Sant Gervasi - Galvany,950.0,76.0,3,1,nan,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-amueblado_3_hab_en_sant_gervasi_galvany-barcelona-i26855000000837.htm?pag=1&f=&geo=p&from=list&lo=55,41.4025104922,2.1434515375,26,0
6,Alquiler piso rios rosas en Putget - Farró Barcelona,Putget - Farró,1050.0,98.0,4,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-rios_rosas_putget_farro-barcelona-i12826003993960.htm?pag=1&f=&geo=p&from=list&lo=55,41.4056297213,2.1447139744999997,27,0
8,Alquiler apartamento 47m obra nueva en Poblenou Barcelona,Poblenou,1235.0,47.0,2,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-obra_nueva_poblenou-barcelona-i19465004033471.htm?pag=1&f=&geo=p&from=list&lo=55,41.402129961199996,2.2052400162,68,0
9,Alquiler piso  de 4 hab. (2 dobles grandes en Barcelona,Fort Pienc,1150.0,115.0,4,2,Balcón / Terraza 3 m,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-de_4_hab_2_dobles_grandes_fort_pienc-barcelona-i10190003880376.htm?pag=1&f=&geo=p&from=list&lo=55,41.402832412600006,2.1791970671,05,1
10,Alquiler piso  amueblado en Vila de Gràcia Barcelona,Vila de Gràcia,890.0,65.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-amueblado_vila_de_gracia-barcelona-i3846003772864.htm?pag=1&f=&geo=p&from=list&lo=55,41.40218,2.16029,31,0
11,"Alquiler piso 81m en ample ample, 11-13 en Gòtic Barcelona",Gòtic,1913.0,81.0,2,2,nan,,,https://www.habitaclia.com/alquiler-piso-ample_11_13_ample_11_13_gotic-barcelona-i672001763971.htm?pag=1&f=&geo=p&from=list&lo=55,41.3791958,2.1791075,02,0
